Channel Current [A]	Channel Voltage [V]
3.33786e-11	0.0
3.09944e-11	-1.0
3.21865e-11	-2.0
3.09944e-11	-3.0
2.6226e-11	-4.0
2.26498e-11	-5.0
1.66893e-11	-6.0
2.02656e-11	-7.0
1.54972e-11	-8.0
2.86102e-11	-9.0
1.78814e-11	-10.0
1.07288e-11	-11.0
2.86102e-11	-12.0
2.02656e-11	-13.0
2.02656e-11	-14.0
3.8147e-11	-15.0
9.53674e-12	-16.0
3.8147e-11	-17.0
3.45707e-11	-18.0
4.05312e-11	-19.0
-5.96046e-12	-20.0
2.38419e-11	-21.0
2.26498e-11	-22.0
3.09944e-11	-23.0
2.86102e-11	-24.0
2.02656e-11	-25.0
2.38419e-11	-26.0
4.52995e-11	-27.0
1.90735e-11	-28.0
-4.76837e-12	-29.0
1.90735e-11	-30.0
7.15256e-12	-31.0
7.15256e-12	-32.0
-8.34465e-12	-33.0
-1.78814e-11	-34.0
-3.57628e-12	-35.0
-2.6226e-11	-36.0
-3.8147e-11	-37.0
-4.05312e-11	-38.0
-7.15256e-11	-39.0
-8.10623e-11	-40.0
-1.00136e-10	-41.0
-1.35899e-10	-42.0
-1.78814e-10	-43.0
-2.22921e-10	-44.0
-2.45571e-10	-45.0
-3.0756e-10	-46.0
-3.46899e-10	-47.0
-4.35114e-10	-48.0
-4.8995e-10	-49.0
-5.98431e-10	-50.0
-7.03335e-10	-51.0
-8.27312e-10	-52.0
-9.50098e-10	-53.0
-1.10626e-09	-54.0
-1.28984e-09	-55.0
-1.47343e-09	-56.0
-1.69158e-09	-57.0
-1.94192e-09	-58.0
-2.20776e-09	-59.0
-2.5034e-09	-60.0
-2.83957e-09	-61.0
-3.18408e-09	-62.0
-3.55721e-09	-63.0
-3.97444e-09	-64.0
-4.43459e-09	-65.0
-4.8995e-09	-66.0
-5.43118e-09	-67.0
-5.97477e-09	-68.0
-6.56962e-09	-69.0
-7.18594e-09	-70.0
-7.84636e-09	-71.0
-8.53777e-09	-72.0
-9.24349e-09	-73.0
-9.98378e-09	-74.0
-1.0767e-08	-75.0
-1.1586e-08	-76.0
-1.243e-08	-77.0
-1.32918e-08	-78.0
-1.41764e-08	-79.0
-1.5105e-08	-80.0
-1.60396e-08	-81.0
-1.70064e-08	-82.0
-1.80233e-08	-83.0
-1.9052e-08	-84.0
-2.01082e-08	-85.0
-2.11716e-08	-86.0
-2.22564e-08	-87.0
-2.33328e-08	-88.0
-2.44737e-08	-89.0
-2.56491e-08	-90.0
-2.68054e-08	-91.0
-2.79891e-08	-92.0
-2.91646e-08	-93.0
-3.03984e-08	-94.0
-3.16119e-08	-95.0
-3.2872e-08	-96.0
-3.40855e-08	-97.0
-3.53348e-08	-98.0
-3.6602e-08	-99.0
-3.78525e-08	-100.0
